url;Pases;Pases_link;Fecha;Muertes;Tasa;Var
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Afganistán [+];https://datosmacro.expansion.com/demografia/mortalidad/afganistan?anio=1990;1990;;15,58‰;-0,61
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Albania [+];https://datosmacro.expansion.com/demografia/mortalidad/albania?anio=1990;1990;18.193;5,60‰;-0,1
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Alemania [+];https://datosmacro.expansion.com/demografia/mortalidad/alemania?anio=1990;1990;713.335;11,30‰;0,1
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Angola [+];https://datosmacro.expansion.com/demografia/mortalidad/angola?anio=1990;1990;;22,91‰;-0,17
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Antigua y Barbuda [+];https://datosmacro.expansion.com/demografia/mortalidad/antigua-barbuda?anio=1990;1990;;6,76‰;0,06
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Arabia Saudita [+];https://datosmacro.expansion.com/demografia/mortalidad/arabia-saudita?anio=1990;1990;;4,94‰;-0,2
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Argelia [+];https://datosmacro.expansion.com/demografia/mortalidad/argelia?anio=1990;1990;;6,31‰;-0,17
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Argentina [+];https://datosmacro.expansion.com/demografia/mortalidad/argentina?anio=1990;1990;;8,26‰;-0,05
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Armenia [+];https://datosmacro.expansion.com/demografia/mortalidad/armenia?anio=1990;1990;;8,47‰;0,2
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Australia [+];https://datosmacro.expansion.com/demografia/mortalidad/australia?anio=1990;1990;;7,00‰;-0,3
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Austria [+];https://datosmacro.expansion.com/demografia/mortalidad/austria?anio=1990;1990;82.952;10,80‰;-0,1
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Azerbaiyán [+];https://datosmacro.expansion.com/demografia/mortalidad/azerbaiyan?anio=1990;1990;;6,10‰;-0,3
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Bahamas [+];https://datosmacro.expansion.com/demografia/mortalidad/bahamas?anio=1990;1990;;5,50‰;-0,01
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Bangladés [+];https://datosmacro.expansion.com/demografia/mortalidad/banglades?anio=1990;1990;;10,30‰;-0,42
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Barbados [+];https://datosmacro.expansion.com/demografia/mortalidad/barbados?anio=1990;1990;;9,69‰;-0,08
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Baréin [+];https://datosmacro.expansion.com/demografia/mortalidad/barein?anio=1990;1990;;3,39‰;-0,08
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Bélgica [+];https://datosmacro.expansion.com/demografia/mortalidad/belgica?anio=1990;1990;104.130;10,40‰;-0,4
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Belice [+];https://datosmacro.expansion.com/demografia/mortalidad/belice?anio=1990;1990;;5,41‰;0,02
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Benín [+];https://datosmacro.expansion.com/demografia/mortalidad/benin?anio=1990;1990;;14,68‰;-0,48
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Bielorrusia [+];https://datosmacro.expansion.com/demografia/mortalidad/bielorrusia?anio=1990;1990;;10,80‰;0,6
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Birmania - Myanmar [+];https://datosmacro.expansion.com/demografia/mortalidad/birmania?anio=1990;1990;;10,32‰;-0,2
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Bolivia [+];https://datosmacro.expansion.com/demografia/mortalidad/bolivia?anio=1990;1990;;12,80‰;-0,3
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Bosnia y Herzegovina [+];https://datosmacro.expansion.com/demografia/mortalidad/bosnia-herzegovina?anio=1990;1990;29.093;6,50‰;-0,3
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Botsuana [+];https://datosmacro.expansion.com/demografia/mortalidad/botsuana?anio=1990;1990;;7,54‰;0,14
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Brasil [+];https://datosmacro.expansion.com/demografia/mortalidad/brasil?anio=1990;1990;;7,23‰;-0,14
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Brunéi [+];https://datosmacro.expansion.com/demografia/mortalidad/brunei?anio=1990;1990;;3,69‰;-0,08
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Bulgaria [+];https://datosmacro.expansion.com/demografia/mortalidad/bulgaria?anio=1990;1990;108.608;12,50‰;0,5
https://datosmacro.expansion.com/demografia/mortalidad?anio=1990;Burkina Faso [+];https://datosmacro.expansion.com/demografia/mortalidad/burkina-faso?anio=1990;1990;;17,01‰;-0,04
