url;Pases;Pases_link;Fecha;Esperanza De 1;Esperanza De 2;Esperanza De 3;Var
https://datosmacro.expansion.com/demografia/esperanza-vida;Afganistán [+];https://datosmacro.expansion.com/demografia/esperanza-vida/afganistan;2017;65,43;62,76;64,05;0,59%
https://datosmacro.expansion.com/demografia/esperanza-vida;Albania [+];https://datosmacro.expansion.com/demografia/esperanza-vida/albania;2017;80,1;77,1;78,5;0
https://datosmacro.expansion.com/demografia/esperanza-vida;Alemania [+];https://datosmacro.expansion.com/demografia/esperanza-vida/alemania;2017;83,4;78,7;81,1;0,12%
https://datosmacro.expansion.com/demografia/esperanza-vida;Andorra [+];https://datosmacro.expansion.com/demografia/esperanza-vida/andorra;2012;92;88,4;90;-3,02%
https://datosmacro.expansion.com/demografia/esperanza-vida;Angola [+];https://datosmacro.expansion.com/demografia/esperanza-vida/angola;2017;64,68;58,97;61,81;0,43%
https://datosmacro.expansion.com/demografia/esperanza-vida;Antigua y Barbuda [+];https://datosmacro.expansion.com/demografia/esperanza-vida/antigua-barbuda;2017;78,88;74;76,52;0,20%
https://datosmacro.expansion.com/demografia/esperanza-vida;Arabia Saudita [+];https://datosmacro.expansion.com/demografia/esperanza-vida/arabia-saudita;2017;76,49;73,42;74,72;0,21%
https://datosmacro.expansion.com/demografia/esperanza-vida;Argelia [+];https://datosmacro.expansion.com/demografia/esperanza-vida/argelia;2017;77,56;75,08;76,29;0,28%
https://datosmacro.expansion.com/demografia/esperanza-vida;Argentina [+];https://datosmacro.expansion.com/demografia/esperanza-vida/argentina;2017;80,44;72,96;76,74;0,21%
https://datosmacro.expansion.com/demografia/esperanza-vida;Armenia [+];https://datosmacro.expansion.com/demografia/esperanza-vida/armenia;2017;78,9;72,5;75,8;0,93%
https://datosmacro.expansion.com/demografia/esperanza-vida;Australia [+];https://datosmacro.expansion.com/demografia/esperanza-vida/australia;2017;84,7;80,4;82,5;0,06%
https://datosmacro.expansion.com/demografia/esperanza-vida;Austria [+];https://datosmacro.expansion.com/demografia/esperanza-vida/austria;2017;84;79,4;81,7;-0,12%
https://datosmacro.expansion.com/demografia/esperanza-vida;Azerbaiyán [+];https://datosmacro.expansion.com/demografia/esperanza-vida/azerbaiyan;2017;77,9;73,2;75,6;4,96%
https://datosmacro.expansion.com/demografia/esperanza-vida;Bahamas [+];https://datosmacro.expansion.com/demografia/esperanza-vida/bahamas;2017;78,75;72,74;75,82;0,20%
https://datosmacro.expansion.com/demografia/esperanza-vida;Bangladés [+];https://datosmacro.expansion.com/demografia/esperanza-vida/banglades;2017;74,62;71,19;72,81;0,44%
https://datosmacro.expansion.com/demografia/esperanza-vida;Barbados [+];https://datosmacro.expansion.com/demografia/esperanza-vida/barbados;2017;78,4;73,6;76,06;0,20%
https://datosmacro.expansion.com/demografia/esperanza-vida;Baréin [+];https://datosmacro.expansion.com/demografia/esperanza-vida/barein;2017;78,15;76,19;77,04;0,18%
